X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,Diff_Rep_Occu,Brand_Popularity,Range_Price,Weekend_or_WeekDay
-8425876.655,5687651.779,2019,2019/09/01 00:00:00+00,Monday,PARKING LOTS,STOLEN,150,CCM,MOUNTAIN,WOMEN'S,PURPLE,Sandy Hill,September,0,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8425880.574,5680449.176,2019,2019/07/24 00:00:00+00,Monday,PARK,STOLEN,200,NORCO,RACER,UNISEX,GRAY,Riverside Park,July,5,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8424934.186,5688410.528,2019,2019/08/31 00:00:00+00,Sunday,UNIVERSITIES / COLLEGES,STOLEN,600,CANNONDALE,HYBRID,UNISEX,BLACK,Chapman Mills,August,0,Well-Known,LOW PRICE,Weekend
-8449718.786,5661307.223,2019,2019/07/29 00:00:00+00,Monday,OPEN AREAS,STOLEN,200,NORCO,MOUNTAIN,MEN'S,GREEN,Lowertown,July,0,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8425599.627,5687193.74,2019,2019/09/01 00:00:00+00,Sunday,BAR OR RESTAURANT,STOLEN,550,SE BIKES,REGULAR,UNISEX,BLACK,Sandy Hill,September,0,LESS-RECOGNIZED,LOW PRICE,Weekend
-8449718.786,5661307.223,2019,2019/07/29 00:00:00+00,Monday,OPEN AREAS,STOLEN,75,INFERNO,BMX,CHILD'S,RED,Riverside Park,July,0,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8431120.876,5664134.426,2019,2019/08/30 00:00:00+00,Sunday,PARKING LOTS,STOLEN,300,GT,BMX,CHILD'S,RED,Centretown,August,1,Well-Known,VERY LOW PRICE,Weekend
-8430415.904,5686113.894,2019,2019/07/21 00:00:00+00,Monday,PARKING LOTS,RECOVERED,450,SCHWINN,OTHER,WOMEN'S,RED,Centretown,July,1,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8425218.081,5684686.826,2019,2019/08/30 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,400,GIANT,HYBRID,MEN'S,BLACK,Sandy Hill,August,0,Well-Known,VERY LOW PRICE,Weekend
-8424739.379,5690252.227,2019,2019/07/26 00:00:00+00,Sunday,PARKING LOTS,STOLEN,400,DCO,MOUNTAIN,MEN'S,BLACK,Centretown,July,1,LESS-RECOGNIZED,VERY LOW PRICE,Weekend
-8421400.008,5688094.984,2019,2019/08/29 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1000,GT,HYBRID,MEN'S,BLACK,Glebe - Dows Lake,August,0,Well-Known,LOW PRICE,Weekend
-8420639.686,5691114.463,2019,2019/07/25 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,600,SCHWINN,HYBRID,MEN'S,BLACK,Byward Market,July,1,LESS-RECOGNIZED,LOW PRICE,Weekend
-8425047.897,5689290.417,2019,2019/08/30 00:00:00+00,Saturday,DWELLING UNIT,STOLEN,580,GIANT,HYBRID,UNISEX,BLACK,Overbrook - McArthur,August,0,Well-Known,LOW PRICE,Weekend
-8426533.489,5678468.904,2019,2019/08/23 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,1200,KONA,MOUNTAIN,WOMEN'S,GREEN,Carleton Heights - Rideauview,August,1,Well-Known,AFFORDABLE,Weekend
-8427492.303,5685647.362,2019,2019/02/07 00:00:00+00,Thursday,DWELLING UNIT,STOLEN,1000,CANNONDALE,HYBRID,MEN'S,BLUE,West Centretown,February,11,Well-Known,LOW PRICE,Week_Day
-8426202.146,5683117.963,2019,2019/08/30 00:00:00+00,Friday,OPEN AREAS,STOLEN,200,TREK,TOURING,WOMEN'S,PURPLE,Old Ottawa South,August,1,Well-Known,VERY LOW PRICE,Weekend
-8425822.831,5687061.855,2019,2019/01/15 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,300,DAWN,REGULAR,MEN'S,ORANGE,Centretown,January,1,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8439102.301,5676285.342,2019,2019/08/28 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,400,NORTHROCK,HYBRID,UNISEX,BLUE,Bayshore - Belltown,August,1,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8448492.198,5668007.229,2019,2019/03/27 00:00:00+00,Saturday,BAR OR RESTAURANT,STOLEN,350,DIADORA,MOUNTAIN,MEN'S,BLACK,Katimavik - Hazeldean,March,2,LESS-RECOGNIZED,VERY LOW PRICE,Weekend
-8429322.9,5685311.474,2019,2019/08/28 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,350,DIADORA,HYBRID,WOMEN'S,WHITE,Hintonburg - Mechanicsville,August,1,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8433022.826,5677294.53,2019,2019/03/25 00:00:00+00,Thursday,PARKING LOTS,STOLEN,200,PHANTOM 29,MOUNTAIN,MEN'S,ORANGE,Centretown,March,0,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8427525.577,5686531.709,2019,2019/07/28 00:00:00+00,Sunday,"STREETS, ROADS, HIGHWAYS",STOLEN,2900,TREK,MOUNTAIN,UNISEX,BLACK,Centretown,July,2,Well-Known,AFFORDABLE,Weekend
-8425112.544,5688484.505,2019,2019/08/27 00:00:00+00,Thursday,BANK AND OTHER FINANCIAL INSTITUTION,STOLEN,700,URBAN,OTHER,UNISEX,WHITE,Hintonburg - Mechanicsville,August,0,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8433022.826,5677294.53,2019,2019/03/25 00:00:00+00,Thursday,PARKING LOTS,STOLEN,750,RALEIGH,HYBRID,WOMEN'S,BLUE,Cityview - Crestview - Meadowlands,March,0,FAIRLY RECOGNIZED,LOW PRICE,Week_Day
-8426255.816,5687285.981,2019,2019/07/19 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,740,BTWIN,HYBRID,MEN'S,BLACK,Lowertown,July,1,LESS-RECOGNIZED,LOW PRICE,Weekend
-8429820.832,5685221.948,2019,2019/08/28 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,395,REGAL,OTHER,MEN'S,BLACK,Hintonburg - Mechanicsville,August,1,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8426444.77,5687593.274,2019,2018/12/01 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,400,NORTHROCK,MOUNTAIN,MEN'S,GREEN,Carleton University,December,26,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8425635.677,5685304.894,2019,2019/07/14 00:00:00+00,Sunday,PARKING LOTS,STOLEN,300,DIAMONDBACK,MOUNTAIN,MEN'S,BLUE,Overbrook - McArthur,July,17,LESS-RECOGNIZED,VERY LOW PRICE,Weekend
-8430406.291,5685204.447,2019,2019/08/29 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",STOLEN,400,NORCO,HYBRID,MEN'S,BLACK,Sandy Hill,August,1,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8426937,5681425.815,2019,2019/03/28 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",STOLEN,325,GUARDIAN,OTHER,UNISEX,BLACK,Cityview - Crestview - Meadowlands,March,1,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
